config,run,test_PCIP,test_MPIW,test_CWC,loss_sample,loss_coverage,loss_width,train_time_sec,gpu_mem_MB,param_count
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(0)_use_width_loss(1),0,0.0,0.017792415,151.94068106650226,0.0,0.0,0.0003894676046911627,1.99,66.38,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(0)_use_width_loss(1),1,0.0,0.01834842,156.68876319594185,0.0,0.0,0.00039751382428221405,2.0,66.38,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(0)_use_width_loss(1),2,0.0,0.019842906,169.45111513725055,0.0,0.0,0.00040226010605692863,1.99,66.38,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(0)_use_width_loss(1),3,0.0,0.01944395,166.04418137070328,0.0,0.0,0.0004061164800077677,1.98,66.38,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(0)_use_width_loss(1),4,0.0,0.019225484,164.17855609954518,0.0,0.0,0.00041334214620292187,1.98,66.38,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),0,0.91,0.2769996,0.5559967972922767,0.003540643723681569,0.0003999992331955582,0.011098838411271572,2.69,66.38,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),1,0.91,0.28928125,0.58064866618569,0.0035032862797379494,0.0003999992331955582,0.011381487362086773,2.22,66.38,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),2,0.9,0.30395594,0.6405836939811707,0.003659344743937254,0.0002249995741294697,0.011799974367022514,2.23,66.38,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),3,0.92,0.2919164,0.5594511039191096,0.003793963696807623,0.0002640629536472261,0.011457163840532303,2.24,66.38,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),4,0.905,0.26906526,0.553224222217412,0.0034915946889668703,0.0005062490236014128,0.010465125553309917,2.22,66.38,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(0),0,0.975,1.0861197,1.685112311621613,0.0,0.010000004433095455,0.0,2.12,66.38,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(0),1,0.99,1.0272654,1.5225765855215145,0.0,0.010000004433095455,0.0,2.14,66.38,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(0),2,0.985,1.1264794,1.694371864631467,0.0,0.010000004433095455,0.0,2.12,66.38,9090
