config,run,test_PCIP,test_MPIW,test_CWC,loss_sample,loss_coverage,loss_width,train_time_sec,gpu_mem_MB,param_count
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(0)_use_width_loss(1),0,0.005,0.019797085,153.9662262241596,0.0,0.0,0.00047940146760083735,1.97,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(0)_use_width_loss(1),1,0.005,0.019655483,152.86495372649898,0.0,0.0,0.0004684454470407218,1.75,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(0)_use_width_loss(1),2,0.005,0.019243523,149.66106002760313,0.0,0.0,0.000464277429273352,1.86,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(0)_use_width_loss(1),3,0.005,0.01978635,153.88274340495914,0.0,0.0,0.00047657490358687937,1.66,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(0)_use_width_loss(1),4,0.005,0.019297926,150.08416025989774,0.0,0.0,0.0004650987684726715,1.6,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),0,0.84,0.116142996,0.3306744053337499,0.00020300048345234245,0.0017015617340803146,0.005037731025367975,2.75,65.76,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),1,0.865,0.15049149,0.3672757136195257,0.0011786577524617314,0.0013140621595084667,0.006119252648204565,2.81,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),2,0.83,0.14009549,0.425955282360989,0.0012207275722175837,0.0013140621595084667,0.006046620663255453,2.83,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),3,0.805,0.1319173,0.47720955772538576,0.001094155595637858,0.0002640629536472261,0.005550919566303492,3.05,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),4,0.855,0.18700887,0.48455410775907864,0.0005980489077046514,0.0009765625,0.007351370994001627,2.54,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(0),0,1.0,1.1380694,1.570539377894424,0.0,0.010000004433095455,0.0,2.73,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(0),1,1.0,1.1644136,1.6068944825088216,8.322298583607335e-08,0.009751561097800732,0.0,2.4,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(0),2,0.99,1.2153229,1.7245873016327815,0.0,0.010000004433095455,0.0,2.41,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(0),3,1.0,1.2143188,1.675763720716347,9.149312774070495e-08,0.009751561097800732,0.0,2.32,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(0),4,0.99,1.1093135,1.574156122831095,0.0,0.010000004433095455,0.0,2.03,65.78,9090
dual_output(1)_fixed_margin(0.05)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),0,0.675,0.10000002,1.0580692567686303,0.0003572814748622477,0.0016000017058104277,0.005000000819563866,1.75,65.78,9025
