config,run,test_PCIP,test_MPIW,test_CWC,loss_sample,loss_coverage,loss_width,train_time_sec,gpu_mem_MB,param_count
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(0)_use_width_loss(1),0,0.0,0.019797085,182.2631599259333,0.0,0.0,0.00047940152580849826,1.98,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(0)_use_width_loss(1),1,0.0,0.019655483,180.95949252902818,0.0,0.0,0.00046844547614455223,1.99,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(0)_use_width_loss(1),2,0.0,0.019243522,177.16674482383172,0.0,0.0,0.000464277429273352,1.99,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(0)_use_width_loss(1),3,0.0,0.019786352,182.16434784242466,0.0,0.0,0.00047657490358687937,2.0,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(0)_use_width_loss(1),4,0.0,0.019297928,177.66762819611768,0.0,0.0,0.0004650987684726715,1.99,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),0,0.87,0.3883029,1.0365878522214418,0.002877061255276203,6.249988018680597e-06,0.018131107091903687,2.69,65.76,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),1,0.85,0.38895944,1.170399950882145,0.002861487213522196,0.0002640629536472261,0.018077904358506203,2.19,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),2,0.87,0.3833705,1.0234206466748947,0.0028412831015884876,2.4999952074722387e-05,0.017820080742239952,2.19,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),3,0.885,0.39644796,0.9736487047928001,0.002790102967992425,1.406224964739522e-05,0.01851293072104454,2.17,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),4,0.885,0.40846625,1.0031647650294442,0.002643669256940484,9.999980829888955e-05,0.018407518044114113,2.17,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(0),0,1.0,1.0995512,1.7086652942222973,5.926936523792392e-07,0.009751561097800732,0.0,2.1,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(0),1,1.0,1.0763061,1.672543207972977,0.0,0.010000004433095455,0.0,2.09,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(0),2,1.0,1.1307168,1.7570956094530008,0.0,0.010000004433095455,0.0,2.08,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(0),3,1.0,1.1343248,1.7627022367773193,0.0,0.010000004433095455,0.0,2.12,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(0),4,0.995,1.0527459,1.658489170994783,1.8674135162655148e-06,0.009751561097800732,0.0,2.13,65.78,9090
dual_output(1)_fixed_margin(0.05)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),0,0.275,0.10000002,58.961953151134296,0.03158766031265259,0.1650390625,0.005000000819563866,2.02,65.78,9025
dual_output(1)_fixed_margin(0.05)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),1,0.295,0.10000002,48.29455722496532,0.033390458673238754,0.20249998569488525,0.005000000819563866,2.06,65.78,9025
dual_output(1)_fixed_margin(0.05)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),2,0.295,0.10000002,48.29455722496532,0.029165901243686676,0.1722249984741211,0.005000000819563866,2.06,65.78,9025
dual_output(1)_fixed_margin(0.05)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),3,0.255,0.10000002,71.99113995774367,0.03068612329661846,0.1650390625,0.005000000819563866,2.07,65.78,9025
dual_output(1)_fixed_margin(0.05)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),4,0.29,0.10000002,50.7648475192541,0.02924335189163685,0.13782654702663422,0.005000000819563866,2.05,65.78,9025
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(1)_use_width_loss(1),0,0.0,0.01877617,172.86404163174666,0.0,0.807751476764679,0.0004572060133796185,2.11,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(1)_use_width_loss(1),1,0.0,0.019464487,179.2010721795136,0.0,0.807751476764679,0.000466550380224362,2.12,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(1)_use_width_loss(1),2,0.0,0.019591385,180.3693673239125,0.0,0.807751476764679,0.00047277664998546243,2.11,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(1)_use_width_loss(1),3,0.0,0.020476418,188.51748478999357,0.0,0.807751476764679,0.0004919039201922715,2.11,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(1)_use_width_loss(1),4,0.0,0.019624043,180.67004527860374,0.0,0.807751476764679,0.0004777410067617893,2.07,65.78,9090
dual_output(0)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),0,0.865,0.39306295,1.080199099711087,0.0031601814553141594,6.249988018680597e-06,0.01807340234518051,2.03,65.78,9090
dual_output(0)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),1,0.825,0.38570744,1.3658044649736205,0.003379811067134142,6.249988018680597e-06,0.017636792734265327,2.14,65.78,9090
dual_output(0)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),2,0.845,0.37063807,1.1508628528103557,0.0030936182010918856,0.00035156295052729547,0.017758553847670555,2.14,65.78,9090
dual_output(0)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),3,0.865,0.39981765,1.0987621076821947,0.0035425929818302393,2.4999952074722387e-05,0.018262088298797607,2.14,65.78,9090
dual_output(0)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),4,0.84,0.3737801,1.1983541648653884,0.002358929719775915,0.0002640629536472261,0.01758921705186367,2.15,65.78,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(0)_use_width_loss(0),0,1.0,1.1055075,1.717921129378711,0.0,0.0,0.0,2.05,65.78,9090
