config,run,test_PCIP,test_MPIW,test_CWC,loss_sample,loss_coverage,loss_width,train_time_sec,gpu_mem_MB,param_count
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(0)_use_width_loss(1),0,0.0,0.03523061,333.50744675769863,0.0,0.0,0.0004924039822071791,2.03,65.47,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(0)_use_width_loss(1),1,0.0,0.03354469,317.5478008628228,0.0,0.0,0.00048674651770852506,2.0,65.47,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(0)_use_width_loss(1),2,0.0,0.032621656,308.80998085253935,0.0,0.0,0.00048520625568926334,2.0,65.47,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(0)_use_width_loss(1),3,0.0,0.033662762,318.6655276479559,0.0,0.0,0.00048278315807692707,2.0,65.47,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(0)_use_width_loss(1),4,0.0,0.036401376,344.5903706551757,0.0,0.0,0.0005139689310453832,2.01,65.47,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),0,0.9313725490196079,0.34774268,0.7030174579574542,0.0030556670390069485,5.027531733503565e-05,0.014722578227519989,2.52,65.44,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),1,0.9313725490196079,0.34837544,0.7042967318035783,0.002851602854207158,5.027531733503565e-05,0.014818697236478329,2.26,65.47,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),2,0.9313725490196079,0.34575772,0.6990045757210029,0.0031330822966992855,5.027531733503565e-05,0.014734745025634766,2.26,65.47,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),3,0.9313725490196079,0.34461856,0.6967015526894149,0.002880869898945093,9.092559776036069e-05,0.014809238724410534,2.26,65.47,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),4,0.9313725490196079,0.34561568,0.6987174328494049,0.0029653930105268955,2.158091592718847e-05,0.014663870446383953,2.26,65.47,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(0),0,1.0,1.0787121,1.7235933084054518,3.8735734619876894e-07,0.009516997262835503,0.0,2.17,65.47,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(0),1,1.0,1.1045153,1.7648222310141068,0.0,0.010000004433095455,0.0,2.18,65.47,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(0),2,1.0,1.0581573,1.6907502748526593,9.152009283752705e-07,0.009516997262835503,0.0,2.19,65.47,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(0),3,1.0,1.1208264,1.7908845769006938,0.0,0.010000004433095455,0.0,2.15,65.47,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(0),4,1.0,1.0825561,1.7297354376968197,2.0367592696857173e-06,0.009516997262835503,0.0,2.14,65.47,9090
dual_output(1)_fixed_margin(0.05)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),0,0.3235294117647059,0.100000046,37.36126020400467,0.02940594032406807,0.18961869180202484,0.005000001285225153,2.1,65.47,9025
dual_output(1)_fixed_margin(0.05)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),1,0.3235294117647059,0.100000046,37.36126020400467,0.02934790588915348,0.1982317566871643,0.005000001285225153,2.13,65.47,9025
dual_output(1)_fixed_margin(0.05)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),2,0.3235294117647059,0.100000046,37.36126020400467,0.029318952932953835,0.20041489601135254,0.005000001285225153,2.11,65.47,9025
dual_output(1)_fixed_margin(0.05)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),3,0.3137254901960784,0.100000046,41.19766346522667,0.028940243646502495,0.18749532103538513,0.005000001285225153,1.86,65.47,9025
dual_output(1)_fixed_margin(0.05)_use_sample_loss(1)_use_coverage_loss(1)_use_width_loss(1),4,0.3235294117647059,0.100000046,37.36126020400467,0.029458044096827507,0.19606053829193115,0.005000001285225153,2.13,65.47,9025
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(1)_use_width_loss(1),0,0.0,0.035290945,334.0785824117825,0.0,0.8056049942970276,0.00048043864080682397,2.09,65.47,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(1)_use_width_loss(1),1,0.0,0.035036676,331.67155870079534,0.0,0.8056049942970276,0.0004879753978457302,2.1,65.47,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(1)_use_width_loss(1),2,0.0,0.034131512,323.10292381607945,0.0,0.8056049942970276,0.0004938255879096687,2.11,65.47,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(1)_use_width_loss(1),3,0.0,0.03659792,346.45092399537464,0.0,0.8056049942970276,0.0005032878252677619,2.08,65.47,9090
dual_output(1)_fixed_margin(None)_use_sample_loss(0)_use_coverage_loss(1)_use_width_loss(1),4,0.0,0.036871854,349.0441298386557,0.0,0.8056049942970276,0.000500198919326067,2.09,65.47,9090
