Source,Run,Target,PICP,MPIW
ER,1,ER,0.965,0.54163104
ER,1,BA,0.87,0.85448205
ER,1,grid,0.8222222222222222,0.83252615
ER,1,tree,0.8529411764705882,0.9163684
ER,1,basic,0.66,0.8602922
ER,2,ER,0.93,0.58083725
ER,2,BA,0.86,0.5969874
ER,2,grid,0.9777777777777777,0.973112
ER,2,tree,0.9313725490196079,0.9207729
ER,2,basic,0.67,0.82841974
ER,3,ER,0.965,0.7376785
ER,3,BA,0.905,0.7528207
ER,3,grid,0.9888888888888889,0.9341985
ER,3,tree,0.9411764705882353,0.8862152
ER,3,basic,0.86,0.9174037
ER,4,ER,0.945,0.5967806
ER,4,BA,0.72,0.86022264
ER,4,grid,0.8944444444444445,1.0718668
ER,4,tree,0.8529411764705882,0.9795954
ER,4,basic,0.725,0.98947096
ER,5,ER,0.775,0.39914322
ER,5,BA,0.765,0.5520689
ER,5,grid,0.5333333333333333,0.664613
ER,5,tree,0.8137254901960784,0.6887623
ER,5,basic,0.515,0.65369254
ER,6,ER,0.815,0.59874773
ER,6,BA,0.895,0.730386
ER,6,grid,0.5833333333333334,0.82865363
ER,6,tree,0.9117647058823529,0.8211583
ER,6,basic,0.41,0.72322816
ER,7,ER,1.0,0.8256021
ER,7,BA,0.925,0.7960992
ER,7,grid,0.9944444444444445,1.1219385
ER,7,tree,0.9215686274509803,1.0431987
ER,7,basic,0.875,0.9892276
ER,8,ER,0.98,0.65587115
ER,8,BA,0.795,0.70424414
ER,8,grid,0.9888888888888889,1.0542413
ER,8,tree,0.8627450980392157,1.0079142
ER,8,basic,0.65,0.89863694
ER,9,ER,0.98,0.62505525
ER,9,BA,0.885,0.946296
ER,9,grid,0.8444444444444444,1.0581927
ER,9,tree,0.8921568627450981,0.9984833
ER,9,basic,0.66,0.99981445
ER,10,ER,0.935,0.71935385
ER,10,BA,0.705,0.69596475
ER,10,grid,1.0,1.11593
ER,10,tree,0.9117647058823529,0.97091526
ER,10,basic,0.695,0.88967913
BA,1,ER,0.91,1.2607231
BA,1,BA,0.94,0.53902364
BA,1,grid,0.6277777777777778,1.0058007
BA,1,tree,0.696078431372549,0.9166092
BA,1,basic,0.575,0.6548323
BA,2,ER,0.995,1.3536096
BA,2,BA,0.835,0.36772782
BA,2,grid,1.0,1.6144931
BA,2,tree,1.0,1.4426962
BA,2,basic,0.85,1.2183449
BA,3,ER,0.99,1.2869093
BA,3,BA,0.995,0.7821571
BA,3,grid,0.9944444444444445,1.4300541
BA,3,tree,1.0,1.257924
BA,3,basic,0.825,1.231676
