Source,Target,PICP,MPIW
BA,BA,0.8775000000000001,0.55754006
BA,ER,0.9734999999999999,1.2397486
BA,basic,0.783,1.0661494
BA,grid,0.9527777777777778,1.3400381
BA,tree,0.9637254901960783,1.1901608
ER,BA,0.826,0.74042714
ER,ER,0.9244999999999999,0.6250969
ER,basic,0.673,0.8738845
ER,grid,0.8572222222222223,0.96847
ER,tree,0.8901960784313726,0.92418116
basic,BA,0.10600000000000001,0.31028754
basic,ER,0.2705,0.41025597
basic,basic,0.901,0.40829802
basic,grid,0.8266666666666665,0.5115427
basic,tree,0.43431372549019615,0.48835713
grid,BA,0.686,0.8533618
grid,ER,0.6649999999999999,0.8279599
grid,basic,0.5189999999999999,0.8148959
grid,grid,0.8172222222222223,0.822512
grid,tree,0.6480392156862745,0.84286845
tree,BA,0.1045,0.3899786
tree,ER,0.5595,0.42909536
tree,basic,0.2505,0.33769092
tree,grid,0.5577777777777777,0.38284308
tree,tree,0.9019607843137255,0.38923615
